province,gender,languages,height,armspan,foot,wristbone,wristcircum,handedness,grain,milk,vegetable,meat,otherfood,nobreakfast,physical_activity,physical_days,num_cigarettes,favsubj,pressure,travel,traveltime,bullied_times,communication,importance of reducing pollution,importance of recycling rubbish,importance of conserving water,importance of saving energy,importance of owning a computer,importance of Internet access,charity,lookupto,household,metals,plastics,paper,composting,lightbulbs,water,memorygame,age,reaction_time,bullied_reason,Year,level
Ontario,Male,2,175.5,172.5,26.5,25.5,165,Right-handed,Yes,No,No,No,No,No,Football/Soccer,,0,Physical education,Some,Bus,35, ,Text messaging,830,835,1000,805,685,1000,Religious,Sportsperson,3,Don't know,Yes,Yes,Yes,Don't know,Tap water,34,15,0.457,Mean,2016,Secondary
British Columbia,Female,4,168,170,23,26,143,Right-handed,Yes,Yes,No,No,No,No,Dancing,,0,Science,Some,Walk,5, ,Text messaging,420,420,650,575,575,675,Health,Musician or singer,8,Yes,Yes,Yes,Yes,Yes,Tap water,42,15,0.583,Insecure,2016,Secondary
Alberta,Male,1,181,190.5,25.5,34.5,77,Right-handed,No,Yes,No,No,No,No,Ice Hockey,,0,Social studies,Some,Walk,15, ,In person,985,705,755,745,250,500,Health,Friend,4,No,Yes,Yes,No,Yes,Tap water,43,15,0.61,Having family problems,2016,Secondary
Alberta,Female,1,172,150,23,24,160,Right-handed,Yes,No,No,No,No,No,Basketball,,0,Physical education,Some,Walk,5, ,In person,680,695,690,690,440,520,"Wildlife, animals",Other,4,Yes,Yes,Yes,Yes,Don't know,Bottled water,39,15,0.523,Mean,2016,Secondary
British Columbia,Female,2,160,158.4,24,21,165,Right-handed,No,No,Yes,No,No,No,Athletics,,0,Science,Some,Walk,15, ,Cell phone,960,655,970,370,170,170,"Wildlife, animals",Musician or singer,5,Yes,Yes,Yes,Yes,Don't know,Tap water,39,15,0.667,Insecure,2016,Secondary
Alberta,Female,5,150,150,20,20,140,Ambidextrous,Yes,Yes,Yes,No,Yes,No,Other activities/sports,,0,Music,Very little,Walk,20, ,In person,1000,1000,1000,905,1000,1000,"Arts, culture, sports",Musician or singer,5,Yes,Yes,Don't know,Yes,Yes,Other,43,15,0.404,Just looking for fun,2016,Secondary
Quebec,Female,2,156.5,157.5,22.5,25,155,Right-handed,Yes,No,Yes,Yes,No,No,Other activities/sports,,0,Art,A lot,Bus,45, ,Text messaging,1000,530,540,45,1000,750,Health,Relative,6,Yes,Yes,Yes,Yes,No,Tap water,47,15,0.39,Mean,2016,Secondary
Ontario,Male,2,167,162,28,23,160,Right-handed,No,No,No,No,No,Yes,Football/Soccer,,0,Math,Some,Bus,40, ,Text messaging,490,615,720,790,495,885,"Wildlife, animals",Actor,4,Don't know,Yes,Yes,Yes,Yes,Other,45,15,0.338,Insecure,2016,Secondary
Quebec,Male,2,168,170,24.5,26,180,Right-handed,Yes,Yes,No,No,No,No,Other activities/sports,,0,Other,Very little,Bus,25, ,In person,1000,1000,1000,1000,500,850,Health,Relative,5,Yes,Yes,Yes,No,Yes,Tap water,39,15,0.408,Insecure,2016,Secondary
Ontario,Female,2,180,175,27,25,150,Right-handed,Yes,No,No,No,No,No,Athletics,,0,Math,Some,Car,25, ,Text messaging,880,1000,995,1000,750,1000,International aid,Other,2,Yes,Yes,Yes,No,Yes,Other,38,15,0.433,Mean,2016,Secondary
Saskatchewan,Male,2,178,186,28,27.5,170,Right-handed,Yes,No,No,No,No,No,Football/Soccer,,0,History,None,Bus,55, ,In person,470,375,985,680,40,315,Religious,Religious figure,4,Yes,Yes,No,Yes,Yes,Other,50,15,0.384,Just looking for fun,2016,Secondary
Alberta,Male,1,185.5,175.5,24.5,24.5,170,Right-handed,No,Yes,No,No,No,No,Ice Hockey,,0,Physical education,Very little,Car,3, ,In person,1000,1000,775,775,480,540,Education/Youth development,Relative,4,Yes,Yes,Yes,Don't know,Yes,Tap water,61,15,0.371,Mean,2016,Secondary
Ontario,Male,1,166,167,23,25.5,150,Right-handed,Yes,No,No,No,No,No,Other activities/sports,,0,Math,Very little,Car,10, ,In person,780,510,965,570,225,705,Education/Youth development,Teacher,3,Yes,Yes,Yes,Yes,Don't know,Tap water,42,15,0.299,Mean,2016,Secondary
New Brunswick,Female,3,160,167,23,26,160,Right-handed,No,Yes,Yes,No,No,No,Ice Hockey,,0,Math,Some,Car,10, ,In person,1000,1000,1000,1000,565,545,Education/Youth development,Sportsperson,3,No,Yes,Yes,No,Yes,Bottled water,37,15,0.61,Mean,2016,Secondary
Alberta,Male,1,173,182,30,30,190,Right-handed,Yes,Yes,Yes,Yes,Yes,No,Other activities/sports,,0,Social studies,A lot,Cycle,1, ,In person,5,635,315,410,1000,1000,Other,Other,4,Yes,Yes,Yes,No,No,Other,59,15,0.608,Just looking for fun,2016,Secondary
Ontario,Male,2,170.5,167.5,26.5,27.5,150,Right-handed,No,No,No,No,No,Yes,Other activities/sports,,0,Physical education,None,Bus,30, ,Text messaging,505,510,505,795,715,1000,Other,Friend,2,Don't know,Don't know,Don't know,Don't know,Don't know,Other,37,15,0.523,Jealous,2016,Secondary
Saskatchewan,Female,1,167,164.5,24,27,165,Right-handed,Yes,No,No,No,No,No,Ice Hockey,,0,Physical education,Some,Bus,30, ,Text messaging,65,155,180,465,660,590,Health,Sportsperson,5,No,Yes,No,No,Don't know,Bottled water,81,15,0.647,Having family problems,2016,Secondary
Quebec,Female,2,168.5,164,23,24,150,Right-handed,Yes,Yes,Yes,No,No,No,Other activities/sports,,0,Art,Some,Bus,30, ,In person,715,450,575,575,850,850,"Wildlife, animals",Relative,5,Yes,Yes,Yes,Yes,Don't know,Other,44,15,0.38,Mean,2016,Secondary
British Columbia,Female,3,167.5,152,25,24,170,Right-handed,No,No,No,No,No,Yes,Other activities/sports,,0,Social studies,A lot,Car,6, ,In person,675,620,615,640,545,710,International aid,Musician or singer,6,Yes,Yes,Yes,Yes,Yes,Tap water,25,15,0.542,Insecure,2016,Secondary
Alberta,Male,2,182,190,27.5,30,70,Right-handed,Yes,Yes,Yes,No,No,No,None,,0,Art,Some,Walk,10, ,Text messaging,860,755,845,900,990,985,Environment,Friend,4,Yes,Yes,Yes,No,Yes,Tap water,68,15,0.536,Angry,2016,Secondary
British Columbia,Male,2,167.5,161,26.5,26.5,165,Right-handed,Yes,Yes,No,No,Yes,No,Tennis,,0,Physical education,Very little,Cycle,10, ,In person,1000,1000,1000,1000,500,500,Environment,Other,4,Yes,Yes,Yes,No,Yes,Other,33,15,0.376,Trying to be cool,2016,Secondary
Saskatchewan,Male,1,175,173,28,34,230,Ambidextrous,Yes,Yes,Yes,Yes,No,No,Swimming,,0,English,Very little,Car,5, ,In person,865,745,875,740,295,875,"Arts, culture, sports",Relative,3,No,Yes,Yes,No,Don't know,Tap water,94,15,0.38,Bored,2016,Secondary
Saskatchewan,Female,1,172,173,26,29,160,Right-handed,Yes,No,No,No,No,No,None,,0,Computers,Some,Bus,10, ,Text messaging,615,650,600,580,1000,1000,Health,Other,2,Yes,Yes,No,No,Don't know,Other,27,15,0.587,Jealous,2016,Secondary
Nova Scotia,Male,2,181.5,151.2,24,30,70,Right-handed,Yes,Yes,No,No,No,No,Swimming,,0,Science,Very little,Car,19, ,Internet chat or MSN,860,715,640,605,500,590,Health,Other,5,Don't know,Yes,Yes,No,Don't know,Other,39,15,0.589,Mean,2016,Secondary
Ontario,Female,1,155,153,26,26,155,Right-handed,No,No,No,No,No,Yes,Football/Soccer,,0,Physical education,Some,Car,10, ,Text messaging,560,1000,1000,915,440,555,"Arts, culture, sports",Friend,5,No,Yes,Yes,Yes,Don't know,Bottled water,31,15,0.718,Insecure,2016,Secondary
Saskatchewan,Female,1,173,170,25,27.5,160,Right-handed,Yes,Yes,No,No,No,No,Table Tennis,,0,Physical education,Very little,Bus,5, ,In person,475,695,485,215,180,895,Religious,Friend,5,Don't know,Yes,Yes,Yes,Don't know,Tap water,36,15,0.378,Mean,2016,Secondary
British Columbia,Male,2,170.5,175.5,27.5,26.5,170,Right-handed,Yes,No,No,No,No,No,Athletics,,0,Physical education,Very little,Bus,10, ,Text messaging,600,235,740,655,0,825,Education/Youth development,Sportsperson,5,Yes,Don't know,Yes,Yes,No,Bottled water,37,15,0.419,Insecure,2016,Secondary
Quebec,Female,2,159.5,157,22,25,152,Right-handed,Yes,No,Yes,Yes,No,No,Other activities/sports,,0,Physical education,A lot,Bus,20, ,Telephone (landline),600,600,475,115,0,720,International aid,Relative,4,Yes,Don't know,Yes,No,Don't know,Tap water,70,15,0.458,Trying to be cool,2016,Secondary
Alberta,Male,1,191,184,29.5,29.5,180,Right-handed,No,No,No,Yes,No,No,Other activities/sports,,0,Science,Some,Car,10, ,Internet chat or MSN,245,200,205,220,1000,1000,"Arts, culture, sports",Sportsperson,4,Don't know,Yes,Yes,No,Yes,Bottled water,59,15,0.471,Just looking for fun,2016,Secondary
British Columbia,Male,1,180,182,26,30,180,Right-handed,Yes,Yes,No,Yes,Yes,No,Basketball,,0,Music,Very little,Walk,20, ,In person,865,865,720,560,15,435,Environment,Musician or singer,2,Yes,Yes,Yes,Don't know,Don't know,Tap water,77,15,0.451,Bored,2016,Secondary
